t_id	region	chrom	transcript_start	transcript_end	transcript_lenght	exons	base_pairs	diff_region_intersecting_t_id	diff_region_intersecting_exons	diff_region_intersecting_bps	diff_region_ratio	region_transcript_start	diff_region_transcript_end	diff_region_trans_len	diff_region_trans_overlap	same_region_intersecting_t_id	same_region_intersecting_exons	same_region_intersecting_bps	same_region_ratio	same_region_transcript_start	same_region_transcript_end	same_region_trans_len	same_region_trans_overlap
D30C_TCONS_00042871	D30C	groupXI	12820578	12825607	5029	5	1202		0	0	0				0		0	0	0				0
T30C_TCONS_00045939	T30C	groupXI	16142593	16144882	2289	4	642	D30C_TCONS_00045271	4	640	0.9968847352024922118380062305	16142593	16144880	2287	2287		0	0	0				0
D30C_TCONS_00008541	D30C	groupII	15492051	15495043	2992	3	2046	T30C_TCONS_00008707	3	1906	0.9315738025415444770283479961	15492191	15495048	2857	2852		0	0	0				0
D30C_TCONS_00049051	D30C	groupXII	18287076	18288728	1652	3	982	T30C_TCONS_00049736	3	982	1	18287063	18288878	1815	1652		0	0	0				0
D30C_TCONS_00073747	D30C	groupXX	13402751	13404529	1778	4	860	T30C_TCONS_00074996	3	813	0.9453488372093023255813953488	13402909	13404569	1660	1620		0	0	0				0
D30C_TCONS_00054539	D30C	groupXIV	625082	627424	2342	6	1349		0	0	0				0		0	0	0				0
T30C_TCONS_00063222	T30C	groupXV	3925397	3938466	13069	11	2561	D30C_TCONS_00062139	11	2559	0.9992190550566185083951581414	3925399	3938529	13130	13067		0	0	0				0
T30C_TCONS_00040464	T30C	groupX	3244482	3250215	5733	3	466	D30C_TCONS_00039950	3	330	0.7081545064377682403433476395	3244548	3250145	5597	5597		0	0	0				0
T30C_TCONS_00031321	T30C	groupVII	20704260	20709953	5693	5	3702		0	0	0				0		0	0	0				0
T30C_TCONS_00007734	T30C	groupII	4445125	4484978	39853	8	1592	D30C_TCONS_00007610	8	1583	0.9943467336683417085427135678	4445120	4484969	39849	39844		0	0	0				0
D30C_TCONS_00084033	D30C	scaffold_27	25413	26310	897	1	897		0	0	0				0		0	0	0				0
